,root_id,upstream_lowsalt_2Ns,lowsalt_syn_count,const,nt_type,side,input_synapses,output_synapses,excitatory_number_upstream_neurons,inhibitory_number_upstream_neurons,excitatory_number_input_synapse,inhibitory_number_input_synapse,excitatory - inhibitory_number_input_synapse,activation_25Hz,label,activation_50Hz,activation_75Hz,activation_100Hz,activation_125Hz,activation_150Hz,activation_175Hz,activation_200Hz,%_lowsalt_input,avg_upstream_synapses
97,720575940623164685,1,17,1,ACH,left,3092.0,1167.0,0,1,0,17,-17,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,0.5498059508408797,17.0
98,720575940623164941,1,12,1,ACH,right,2072.0,1993.0,0,1,0,12,-12,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,0.5791505791505791,12.0
99,720575940623183083,2,51,1,SER,right,80.0,147.0,0,2,0,51,-51,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,63.74999999999999,25.5
100,720575940623210445,2,55,1,ACH,left,1023.0,1146.0,0,2,0,55,-55,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,5.376344086021505,27.5
101,720575940623211725,1,17,1,ACH,left,4365.0,3266.0,0,1,0,17,-17,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,0.38946162657502864,17.0
102,720575940623581930,1,37,1,ACH,left,2010.0,890.0,1,0,37,0,37,non activated,low salt,non activated,non activated,non activated,non activated,non activated,activated,activated,1.8407960199004976,37.0
103,720575940623888681,1,28,1,GLUT,left,181.0,153.0,1,0,28,0,28,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,15.469613259668508,28.0
104,720575940624084372,2,82,1,ACH,left,1260.0,1606.0,0,2,0,82,-82,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,6.507936507936509,41.0
105,720575940624266061,2,86,1,ACH,right,185.0,1250.0,0,2,0,86,-86,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,46.48648648648649,43.0
106,720575940624377323,1,10,1,ACH,left,1930.0,890.0,0,1,0,10,-10,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,0.5181347150259068,10.0
107,720575940624805765,1,10,1,ACH,right,65.0,358.0,0,1,0,10,-10,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,15.384615384615385,10.0
108,720575940624976572,2,47,1,,right,102.0,145.0,0,2,0,47,-47,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,46.07843137254902,23.5
109,720575940625047484,1,10,1,,left,1061.0,1109.0,0,1,0,10,-10,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,0.9425070688030159,10.0
110,720575940625167886,1,16,1,GABA,right,496.0,1443.0,0,1,0,16,-16,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,3.225806451612903,16.0
111,720575940625172750,1,13,1,ACH,right,1783.0,1362.0,0,1,0,13,-13,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,0.7291082445316881,13.0
112,720575940625450498,2,62,1,ACH,right,145.0,182.0,0,2,0,62,-62,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,42.758620689655174,31.0
113,720575940625572477,1,40,1,GLUT,right,785.0,2800.0,0,1,0,40,-40,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,5.095541401273886,40.0
114,720575940625705930,1,17,1,GABA,left,1102.0,1905.0,0,1,0,17,-17,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,1.5426497277676952,17.0
115,720575940625750105,2,59,1,SER,right,72.0,263.0,0,2,0,59,-59,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,81.94444444444444,29.5
116,720575940625861660,1,10,1,GABA,left,1414.0,1424.0,0,1,0,10,-10,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,0.7072135785007072,10.0
117,720575940626015242,2,142,1,ACH,left,182.0,789.0,0,2,0,142,-142,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,78.02197802197803,71.0
118,720575940626140164,1,10,1,ACH,right,1392.0,2472.0,0,1,0,10,-10,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,0.7183908045977011,10.0
119,720575940626190794,1,13,1,GABA,left,1420.0,1459.0,0,1,0,13,-13,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,0.9154929577464789,13.0
120,720575940626191306,1,25,1,ACH,left,1038.0,590.0,1,0,25,0,25,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,2.4084778420038537,25.0
121,720575940626217226,2,75,1,ACH,right,200.0,1226.0,0,2,0,75,-75,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,37.5,37.5
122,720575940626241636,1,16,1,ACH,left,59.0,192.0,0,1,0,16,-16,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,27.11864406779661,16.0
123,720575940626243428,1,35,1,ACH,left,1086.0,1171.0,0,1,0,35,-35,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,3.2228360957642725,35.0
