,root_id,upstream_bitter_2Ns,bitter_syn_count,const,nt_type,side,input_synapses,output_synapses,excitatory_number_upstream_neurons,inhibitory_number_upstream_neurons,excitatory_number_input_synapse,inhibitory_number_input_synapse,excitatory - inhibitory_number_input_synapse,activation_25Hz,label,activation_50Hz,activation_75Hz,activation_100Hz,activation_125Hz,activation_150Hz,activation_175Hz,activation_200Hz,%_bitter_input,avg_upstream_synapses,neuron_type,#_projection_synapses
104,720575940619176094,1,14,1,ACH,left,2194.0,2275.0,0,1,0,14,-14,non activated,bitter,non activated,non activated,non activated,non activated,non activated,non activated,non activated,0.6381039197812215,14.0,projection,37
105,720575940619185031,1,15,1,GABA,right,116.0,192.0,0,1,0,15,-15,non activated,bitter,non activated,non activated,non activated,non activated,non activated,non activated,non activated,12.931034482758621,15.0,projection,108
106,720575940619281031,1,14,1,ACH,right,571.0,73.0,1,0,14,0,14,non activated,bitter,non activated,non activated,non activated,non activated,non activated,non activated,non activated,2.4518388791593697,14.0,projection,63
107,720575940619367956,1,25,1,ACH,left,403.0,219.0,0,1,0,25,-25,non activated,bitter,non activated,non activated,non activated,non activated,non activated,non activated,non activated,6.20347394540943,25.0,local,0
108,720575940619421823,2,46,1,ACH,right,78.0,565.0,0,2,0,46,-46,non activated,bitter,non activated,non activated,non activated,non activated,non activated,non activated,non activated,58.97435897435898,23.0,projection,13
109,720575940619453831,1,54,1,,left,538.0,573.0,1,0,54,0,54,non activated,bitter,non activated,non activated,activated,activated,activated,activated,activated,10.037174721189592,54.0,local,0
110,720575940619473624,1,21,1,ACH,left,3204.0,1779.0,0,1,0,21,-21,non activated,bitter,non activated,non activated,non activated,non activated,non activated,non activated,non activated,0.6554307116104869,21.0,local,0
111,720575940619696133,1,15,1,ACH,left,28.0,121.0,0,1,0,15,-15,non activated,bitter,non activated,non activated,non activated,non activated,non activated,non activated,non activated,53.57142857142857,15.0,local,0
112,720575940619771375,1,52,1,ACH,right,1548.0,2846.0,0,1,0,52,-52,non activated,bitter,non activated,non activated,non activated,non activated,non activated,non activated,non activated,3.359173126614987,52.0,local,0
113,720575940619837473,1,13,1,ACH,right,472.0,448.0,0,1,0,13,-13,non activated,bitter,non activated,non activated,non activated,non activated,non activated,non activated,non activated,2.754237288135593,13.0,local,0
114,720575940619877396,2,60,1,ACH,right,5009.0,1090.0,0,2,0,60,-60,non activated,bitter,non activated,non activated,non activated,non activated,non activated,non activated,non activated,1.1978438810141745,30.0,local,0
115,720575940619928929,1,15,1,ACH,right,371.0,1321.0,0,1,0,15,-15,non activated,bitter,non activated,non activated,non activated,non activated,non activated,non activated,non activated,4.0431266846361185,15.0,local,0
116,720575940619945931,1,10,1,GLUT,right,283.0,245.0,0,1,0,10,-10,non activated,bitter,non activated,non activated,non activated,non activated,non activated,non activated,non activated,3.53356890459364,10.0,local,0
117,720575940619973712,2,70,1,GABA,left,1479.0,1699.0,0,2,0,70,-70,non activated,bitter,non activated,non activated,non activated,non activated,non activated,non activated,non activated,4.732927653820148,35.0,local,0
118,720575940620031366,3,110,1,GLUT,left,1766.0,1018.0,0,3,0,110,-110,non activated,bitter,non activated,non activated,non activated,non activated,non activated,non activated,non activated,6.2287655719139305,36.666666666666664,local,0
119,720575940620093019,1,21,1,ACH,right,921.0,979.0,0,1,0,21,-21,non activated,bitter,non activated,non activated,non activated,non activated,non activated,non activated,non activated,2.2801302931596092,21.0,projection,5
120,720575940620156209,1,75,1,GABA,right,4059.0,1610.0,0,1,0,75,-75,non activated,bitter,non activated,non activated,non activated,non activated,non activated,non activated,non activated,1.8477457501847747,75.0,local,0
121,720575940620254087,1,47,1,ACH,left,1840.0,3127.0,0,1,0,47,-47,non activated,bitter,non activated,non activated,non activated,non activated,non activated,non activated,non activated,2.5543478260869565,47.0,local,0
122,720575940620260773,1,63,1,GLUT,left,1432.0,567.0,1,0,63,0,63,non activated,bitter,non activated,non activated,non activated,non activated,non activated,non activated,non activated,4.399441340782123,63.0,projection,468
123,720575940620273505,1,14,1,ACH,right,781.0,1228.0,0,1,0,14,-14,non activated,bitter,non activated,non activated,non activated,non activated,non activated,non activated,non activated,1.792573623559539,14.0,local,0
124,720575940620274085,2,57,1,GABA,left,2835.0,1670.0,0,2,0,57,-57,non activated,bitter,non activated,non activated,non activated,non activated,non activated,non activated,non activated,2.0105820105820107,28.5,local,0
